Time	Position
0.584	0.533576
0.585	0.526625
0.586	0.519672
0.587	0.512719
0.588	0.505764
0.589	0.498807
0.59	0.49185
0.591	0.484891
0.592	0.477931
0.593	0.47097
0.594	0.464008
0.595	0.457045
0.596	0.45008
0.597	0.443115
0.598	0.436148
0.599	0.42918
0.6	0.422212
0.601	0.415242
0.602	0.408271
0.603	0.401299
0.604	0.394326
0.605	0.387353
0.606	0.380378
0.607	0.373402
0.608	0.366426
0.609	0.359449
0.61	0.35247
0.611	0.345491
0.612	0.338511
0.613	0.331531
0.614	0.324549
0.615	0.317567
0.616	0.310584
0.617	0.3036
0.618	0.296615
0.619	0.28963
0.62	0.282644
0.621	0.275657
0.622	0.26867
0.623	0.261682
0.624	0.254694
0.625	0.247704
0.626	0.240715
0.627	0.233724
0.628	0.226733
0.629	0.219742
0.63	0.21275
0.631	0.205757
0.632	0.198764
0.633	0.191771
0.634	0.184777
0.635	0.177783
0.636	0.170788
0.637	0.163793
0.638	0.156797
0.639	0.149801
0.64	0.142805
0.641	0.135808
0.642	0.128811
0.643	0.121814
0.644	0.114816
0.645	0.107818
0.646	0.10082
0.647	0.0938216
0.648	0.086823
0.649	0.0798242
0.65	0.0728252
0.651	0.065826
0.652	0.0588267
0.653	0.0518272
0.654	0.0448276
0.655	0.0378279
0.656	0.0308281
0.657	0.0238282
0.658	0.0168283
0.659	0.00982833
0.66	0.00282834
0.661	-0.00417166
0.662	-0.0111717
0.663	-0.0181716
0.664	-0.0251715
0.665	-0.0321714
0.666	-0.0391712
0.667	-0.0461709
0.668	-0.0531705
0.669	-0.0601699
0.67	-0.0671692
0.671	-0.0741684
0.672	-0.0811673
0.673	-0.0881661
0.674	-0.0951647
0.675	-0.102163
0.676	-0.109161
0.677	-0.116159
0.678	-0.123156
0.679	-0.130154
0.68	-0.137151
0.681	-0.144147
0.682	-0.151144
0.683	-0.158139
0.684	-0.165135
0.685	-0.17213
0.686	-0.179125
0.687	-0.186119
0.688	-0.193113
0.689	-0.200106
0.69	-0.207099
0.691	-0.214092
0.692	-0.221084
0.693	-0.228075
0.694	-0.235066
0.695	-0.242056
0.696	-0.249046
0.697	-0.256035
0.698	-0.263023
0.699	-0.270011
0.7	-0.276998
0.701	-0.283985
0.702	-0.290971
0.703	-0.297956
0.704	-0.30494
0.705	-0.311924
0.706	-0.318907
0.707	-0.325889
0.708	-0.33287
0.709	-0.339851
0.71	-0.346831
0.711	-0.35381
0.712	-0.360788
0.713	-0.367765
0.714	-0.374741
0.715	-0.381717
0.716	-0.388691
0.717	-0.395665
0.718	-0.402637
0.719	-0.409609
0.72	-0.416579
0.721	-0.423549
0.722	-0.430517
0.723	-0.437485
0.724	-0.444451
0.725	-0.451417
0.726	-0.458381
0.727	-0.465344
0.728	-0.472306
0.729	-0.479267
0.73	-0.486227
0.731	-0.493185
0.732	-0.500142
0.733	-0.507098
0.734	-0.514053
0.735	-0.521007
0.736	-0.527959
0.737	-0.53491
0.738	-0.541859
0.739	-0.548807
0.74	-0.555754
0.741	-0.5627
0.742	-0.569644
0.743	-0.576586
0.744	-0.583527
0.745	-0.590467
0.746	-0.597405
0.747	-0.604342
0.748	-0.611277
0.749	-0.61821
0.75	-0.625142
0.751	-0.632072
0.752	-0.639001
0.753	-0.645928
0.754	-0.652853
0.755	-0.659777
0.756	-0.666699
0.757	-0.673619
0.758	-0.680537
0.759	-0.687454
0.76	-0.694368
0.761	-0.701281
0.762	-0.708192
0.763	-0.715101
0.764	-0.722008
0.765	-0.728913
0.766	-0.735816
0.767	-0.742717
0.768	-0.749616
0.769	-0.756513
0.77	-0.763408
0.771	-0.770301
0.772	-0.777191
0.773	-0.78408
0.774	-0.790966
0.775	-0.797849
0.776	-0.804731
0.777	-0.81161
0.778	-0.818487
0.779	-0.825361
0.78	-0.832233
0.781	-0.839102
0.782	-0.845969
0.783	-0.852833
0.784	-0.859695
0.785	-0.866554
0.786	-0.87341
0.787	-0.880264
0.788	-0.887115
0.789	-0.893963
0.79	-0.900808
0.791	-0.90765
0.792	-0.914489
0.793	-0.921325
0.794	-0.928159
0.795	-0.934989
0.796	-0.941816
0.797	-0.948639
0.798	-0.95546
0.799	-0.962277
0.8	-0.969091
0.801	-0.975901
0.802	-0.982708
0.803	-0.989512
0.804	-0.996312
0.805	-1.00311
0.806	-1.0099
0.807	-1.01669
0.808	-1.02347
0.809	-1.03025
0.81	-1.03703
0.811	-1.0438
0.812	-1.05057
0.813	-1.05734
0.814	-1.0641
0.815	-1.07085
0.816	-1.0776
0.817	-1.08435
0.818	-1.09109
0.819	-1.09783
0.82	-1.10456
0.821	-1.11129
0.822	-1.11801
0.823	-1.12473
0.824	-1.13144
0.825	-1.13815
0.826	-1.14485
0.827	-1.15155
0.828	-1.15824
0.829	-1.16493
0.83	-1.17161
0.831	-1.17828
0.832	-1.18495
0.833	-1.19161
0.834	-1.19827
0.835	-1.20491
0.836	-1.21156
0.837	-1.21819
0.838	-1.22482
0.839	-1.23144
0.84	-1.23806
0.841	-1.24467
0.842	-1.25127
0.843	-1.25786
0.844	-1.26445
